time,cycle,cost,violation,msg_count,msg_size,status
25.052512515998387,206,86,0,18769,249217,RUNNING
25.607663236998633,210,85,0,19172,254477,RUNNING
26.243123177999223,215,81,0,19197,254817,RUNNING
26.336895758999162,215,89,0,19301,256697,RUNNING
26.431574388996523,215,105,0,19439,259317,RUNNING
26.784419933999743,218,99,0,19604,261537,RUNNING
26.78996748499776,219,101,0,19607,261577,RUNNING
26.81367793499885,219,93,0,19619,261737,RUNNING
26.841432079996594,219,95,0,19733,263437,RUNNING
26.892142169999715,219,94,0,19969,266677,RUNNING
27.223919608997676,220,130,0,20422,272257,RUNNING
27.680744748999132,224,130,0,20470,272937,RUNNING
27.81608834799772,226,119,0,20485,273157,RUNNING
27.853509197997482,226,127,0,20505,273277,RUNNING
28.050020908998704,229,123,0,20582,274177,RUNNING
28.104868889997306,229,115,0,20750,276577,RUNNING
28.270226202999766,229,83,0,20821,277437,RUNNING
28.27209938099986,230,114,0,20827,277517,RUNNING
28.41255303899743,231,106,0,20843,277737,RUNNING
28.680586794998817,234,108,0,20901,278617,RUNNING
28.897016345999873,234,98,0,20965,279537,RUNNING
28.98582472199996,237,97,0,20975,279737,RUNNING
29.06232762199943,237,83,0,21017,280537,RUNNING
29.916200579998986,243,78,0,21035,280897,RUNNING
30.087554260997422,246,86,0,21080,281697,RUNNING
